path	bytes	format	ntrks	division	residue	events	ticks	seconds	tempos
RTP/Music/Field 4.mid	30751	1	23	384	0	7237	99840	107.585	1
RTP/Music/Game Over 1.mid	7038	1	13	96	0	1677	6814	60.839	1
RTP/Music/Game Over 2.mid	4247	1	13	96	0	1009	3845	34.330	1
RTP/Music/Game Over 3.mid	6859	1	22	384	0	1532	26880	60.980	8
RTP/Music/Ghost Town 1.mid	7505	1	13	96	0	1781	12657	113.009	1
RTP/Music/Ghost Town 2.mid	3979	1	13	96	0	909	9585	85.580	1
RTP/Music/Hero 1.mid	46974	1	13	96	0	11677	14279	106.242	1
RTP/Music/Hero 2.mid	9928	1	26	384	0	2309	29184	38.000	1
RTP/Music/In a Pinch.mid	15998	1	20	384	0	3735	41472	36.404	1
RTP/Music/J2003Horn.mid	640	1	3	480	0	134	3960	3.750	2
RTP/Music/JDoubt.mid	659	1	6	96	0	134	875	4.972	1
RTP/Music/JEnd of Battle 1.mid	1262	1	13	96	0	268	815	4.245	1
RTP/Music/JEnd of Battle 2.mid	1538	1	13	96	0	335	1055	6.594	1
RTP/Music/JEnd of Battle 3.mid	1312	1	13	96	0	284	695	4.826	1
RTP/Music/JEnd of Battle 4.mid	1953	1	22	384	0	393	6144	6.076	1
RTP/Music/JFanfare 1.mid	1276	1	6	96	0	285	1235	8.576	1
RTP/Music/JFanfare 2.mid	2197	1	14	96	0	495	2327	10.388	1
RTP/Music/JFanfare 3.mid	2918	1	25	384	0	615	7680	15.634	7
RTP/Music/JFanfare 4.mid	2282	1	13	96	0	522	1607	10.044	1
RTP/Music/JFanfare 5.mid	1726	1	13	96	0	384	1031	8.055	1
RTP/Music/JFanfare 6.mid	2319	1	13	96	0	530	1355	9.410	1
RTP/Music/JInn 1.mid	1642	1	7	96	0	379	1175	6.120	1
RTP/Music/JInn 2.mid	736	1	6	96	0	153	1175	6.120	1
RTP/Music/JItem.mid	835	1	7	96	0	173	971	5.517	1
RTP/Music/JJoke 1.mid	769	1	8	96	0	157	1199	6.245	1
RTP/Music/JJoke 2.mid	847	1	8	96	0	177	1007	5.245	1
RTP/Music/JMystery.mid	1039	1	6	96	0	230	1115	7.743	1
RTP/Music/Liveliness.mid	31028	1	12	96	0	7580	24957	141.801	1
RTP/Music/Lively Market.mid	43587	1	13	96	0	10818	19178	99.885	1
RTP/Music/Mystery 1.mid	26419	1	8	96	0	6556	9663	75.492	1
RTP/Music/Mystery 2.mid	9841	1	8	96	0	2424	9599	74.992	1
RTP/Music/Mystery 3.mid	8829	1	22	384	0	2048	50688	99.000	1
RTP/Music/Opening 1.mid	48328	1	12	96	0	11943	25199	174.993	1
RTP/Music/Opening 2.mid	26086	1	39	384	0	6004	72192	71.342	13
RTP/Music/Opening 3.mid	31110	1	25	384	0	7538	72192	104.443	1
RTP/Music/Parting 1.mid	4409	1	13	96	0	1046	6524	58.250	1
RTP/Music/Parting 2.mid	8120	1	23	384	0	1862	36992	93.272	7
RTP/Music/Repose 1.mid	13731	1	6	96	0	3372	12684	132.125	1
RTP/Music/Repose 2.mid	7212	1	7	96	0	1731	12670	82.487	1
RTP/Music/Repose 3.mid	9771	1	29	384	0	2094	38400	50.000	1
RTP/Music/Secret Treasure.mid	4939	1	7	96	0	1193	6526	45.319	1
RTP/Music/Ship 1.mid	20551	1	8	96	0	4988	18816	130.667	1
RTP/Music/Ship 2.mid	18360	1	13	96	0	4462	12864	67.000	1
RTP/Music/Ship 3.mid	10112	1	26	384	0	2313	38016	70.714	1
RTP/Music/Shop 1.mid	16281	1	13	96	0	4016	13056	81.600	1
RTP/Music/Shop 2.mid	13415	1	13	96	0	3300	12810	61.586	1
RTP/Music/Shop 3.mid	7499	1	15	384	0	1654	26112	29.565	1
RTP/Music/Sorrow.mid	14166	1	13	96	0	3433	12670	98.984	1
RTP/Music/Thief.mid	5114	1	13	96	0	1225	6525	37.074	1
RTP/Music/Tower 1.mid	8249	1	13	96	0	1977	9597	59.981	1
RTP/Music/Tower 2.mid	5515	1	13	96	0	1309	6525	50.977	1
RTP/Music/Tower 3.mid	17062	1	29	384	0	3972	41472	61.713	1
RTP/Music/Town 1.mid	29643	1	13	96	0	7345	24956	141.795	1
RTP/Music/Town 2.mid	24171	1	13	96	0	5859	24957	113.030	1
RTP/Music/Town 3.mid	11339	1	21	384	0	2517	39936	62.400	1
RTP/Music/Trial.mid	18256	1	27	384	0	4182	51840	65.853	1
RTP/Music/Vehicle 1.mid	27084	1	13	96	0	6501	25151	120.918	1
RTP/Music/Vehicle 2.mid	20724	1	13	96	0	5101	12861	73.074	1
RTP/Music/Vehicle 3.mid	21797	1	23	384	0	5117	59904	63.242	1
RTP/Music/Victory.mid	13014	1	13	96	0	3141	12669	87.979	1
RTP/Music/Village 1.mid	8749	1	6	96	0	2125	18957	118.481	1
RTP/Music/Village 2.mid	10847	1	22	384	0	2425	39936	85.479	1
RTP/Music/Village 3.mid	9286	1	23	384	0	2037	84544	84.678	1
RTP/Music/Wrath.mid	18881	1	13	96	0	4625	18814	83.991	1
